K,Inertia,Silhouette_Score
2,1658.7588524290952,0.25931695553182543
3,1277.928488844642,0.2848589191898987
4,1175.3518813658281,0.2586075384934024
5,1107.0073434603987,0.23152834284691684
6,1046.0023332143637,0.23716725754166543
7,981.5952326111658,0.2036275812271175
8,935.2012114738545,0.1570139556393107
9,889.8929111933176,0.14988199178183517
10,845.8952366525514,0.1436384079124149
